,job_title,company_name,job_location,job_requirement,job_description
10,Software Engineer,Link Datacenter -,"Giza, Egypt ","CCNA is  a MUSTMCSA is  a MUSTBachelor degree from a reputable university (Communications engineering or computer science background is preferred).Ambitious skilled Fresh graduates are welcomed up to 1” year of experience working in data centers or other critical environments.Good command of English language.Basic Windows OS implementation/administration.Basic Linux OS (Redhat-Centos) implementation/administration.Basic MS SQL Administration.Monitoring and data backup Applications good background.Basic servers’ hardware installing/racking knowledge.Technical Document writing.IT project management principals.Very good communication skills with a friendly customer oriented manner.Very Good Presentation, analytical & Problem Solving Skills.Ability to work under pressure and meet deadlines while handling multi-tasks at a time.","Install, move, de-install customers’ hardware and Initial configuration of system OS as needed.Network and SAN cabling.Deploying and Operating the Monitoring systems.Installing all new Solution, Systems and solving all incompatibility problems.Problem management and troubleshooting for all the monitoring solutions problems.Implementing the monitoring solutions for all the Infrastructure department systems.Deploying and operating the backup systems.Isolate server and network issues and rapidly and perform basic troubleshooting.Working with other technical teams and customers to solve technical problems if needed.Acting as on-call support for any problems escalation out of working hours according to schedule.Perform other duties as assigned by Management."
11,Software Engineer,Nahdetmisr For Environmental services -,"Moharam Bek, Alexandria, Egypt ","Job Requirements• Bachelor's Degree in Computer Science or any relevant discipline.• 1 year experience in web and software development.• Demonstrated knowledge of web, web Development, .NET Framework, C#, ASP.NET, HTML and JavaScript .• Ability to work independently and multi-task effectively.• Excellent IT, communication and management skills.Males Only.Location : AlexandriaBenefitsSocial insurancePaid vacationsMedical insuranceAccommodation and Transportation AllowanceFriendly environmentMonetary rewards ",One of Arab Contractors Company in #Alexandria is hiring ( Junior Developer )Job Description• Develop and implement new software programs.• Maintain and improve the performance of existing software.• Resolve problems reported by end-user
12,Software Engineer,TTC Technologies -,"Heliopolis, Cairo, Egypt ","Bachelor of Electronics or Communication.From 0 to 2 years of experience in Hardware and layout design.Very good knowledge of digital, analog and mixed-signal design.Professional in using PCB CAD tools, preferably  AltiumKnowledge of RF and high-speed design methodologies is a plus.Adequate knowledge of reading datasheets for componentsExperience in debugging instruments such as Oscilloscope, power supply, multi-meter, Logic analyzer, power analyzer…etcGood knowledge in EDA tools such as Eagle, Altium, PADS….etcKnowledge of DFM (Design for manufacturing) rules to ensure test-ability and manufacture-ability of products.Ability to meet agreed deadlines.Excellent interpersonal and communication skills.",Design and implement hardware of embedded devices and systems from requirements to production and commercial deployment.Assist in developing and applying test plans.Assist in product assembly (soldering SMD components.Develop a Bill of Material documents.Assist in Indicating electrical specifications of required cables and pin assignment.Integrate and test functionality with other parts of the systemPerform initial and field tests.Develop PCB Features Document and schematic/layout.Communicate with the embedded team leader to update the work daily status.Assist in identifying and resolving technical issues.Assist in writing technical documents as required.Perform other related tasks as required.
13,Software Engineer,Delta Egypt For Lighting  -,"Obour City, Cairo, Egypt ","Bachelor's degree in Architecture, Interior Design, or a related field. (Cairo University, Ain shams university, MIU, GUC, and Fine Arts are preferable).0-1 years experience in the same field.The portfolio is a must.Proficiency in lighting design software, such as Dialux, Relux, or similar tools.Experience with 3D modeling and visualization software (e.g., AutoCAD, Revit, SketchUp, Lumion, 3Ds MAX).Strong knowledge of lighting principles.Familiarity with lighting codes, standards, and regulations.Attention to detail and ability to meet project deadlines.Strong analytical and problem-solving abilities to evaluate lighting design performance and optimize solutions.Excellent visual and verbal communication skills to effectively convey lighting concepts and ideas.Ability to work collaboratively in a team environment and manage multiple projects simultaneously.","Position Overview: The role involves creating lighting solutions that enhance the aesthetic appeal, functionality, and ambiance of architectural spaces You will collaborate with architects, interior designers, and other stakeholders to develop innovative lighting concepts that align with the project's objectives. You will be responsible for designing lighting schemes, selecting appropriate fixtures, and ensuring that the lighting design complies with industry standards and regulations.Key Responsibilities:Lighting Design Development: Collaborate with the project team to understand the architectural vision, project requirements, and client's objectives. Develop creative and sustainable lighting concepts that enhance the architectural features, create visual interest, and support the project goals.Lighting Calculations and Analysis: Conduct lighting calculations, simulations, and analysis to determine the optimal lighting levels, distribution, and color rendering for different spaces. Utilize software tools and industry standards to evaluate the lighting design's performance and energy efficiency.Fixture Selection and Specification: Identify suitable lighting fixtures and equipment based on the project requirements, aesthetics, functionality, and budget. Prepare detailed lighting fixture schedules and specifications, considering factors such as light output, color temperature, beam angles, control systems, and sustainability criteria.Collaboration and Communication: Work closely with architects, interior designers, electrical engineers, and other project stakeholders to ensure seamless integration of the lighting design within the overall architectural concept. Effectively communicate lighting ideas and concepts through sketches, renderings, presentations, and written documentation.Documentation and Construction Administration: Prepare comprehensive lighting design documentation, including drawings, specifications, and technical details. Review shop drawings, conduct site visits, and provide guidance during the construction phase to ensure the lighting design is executed according to the project's intent.Industry Trends and Research: Stay updated with the latest trends, technologies, and advancements in architectural lighting design. Conduct research on emerging lighting products, materials, and sustainable practices to enhance design innovation and efficiency."
14,Software Engineer,Premium Card -,"Dokki, Giza, Egypt ","Bachelor's in computer science or related fieldSoftware Maintenance, Software Testing, Network Design and Implementation Scalability, Vendor Relationships, Software Performance Tuning, Network Performance Tuning, Database Performance Tuning1 -2 years work experience in related field requiredMCSA / CCNAMales Only","Installing and configuring computer hardware, operating systems and applications.Monitoring and maintaining computer systems and networks.Talking staff through a series of actions, either face-to-face, over the phone or remotely, to help set up systems or resolve issues.Troubleshooting system and network problems, diagnosing, and solving hardware or software faults.Replacing parts as required.Supporting the rollout of new applications.Responding within agreed time limits to call-outs."
15,Software Engineer,Holix -,"Cairo, Egypt ","Qualifications:- Bachelor's degree in Computer Science, Software Engineering, or related field.- Strong understanding of Python and web development fundamentals.- Familiarity with front-end technologies such as HTML, CSS, and JavaScript.- Knowledge of web frameworks (e.g., Django, Flask) is a plus.- Excellent problem-solving and communication skills.- Self-motivated with a strong desire to learn and grow. ","About Us:At EButler, we're on a mission to revolutionize the digital landscape with innovative web solutions. We take pride in our commitment to excellence, creativity, and teamwork, and we're looking for a talented Python Web Developer to join our dynamic and remote-friendly team.Position Overview:As a Python Web Developer at EButler, you will play a crucial role in designing, developing, and maintaining web applications that make a real impact. You'll work with a team of experienced professionals who are eager to mentor and guide you as you embark on your career in web development.Key Responsibilities:- Collaborate with cross-functional teams to design and develop web applications.- Write clean, efficient, and maintainable code using Python.- Troubleshoot and debug web application issues.- Optimize web applications for maximum speed and scalability.- Utilize data analytics skills to gain insights and enhance web application functionality (recommended).- Stay up-to-date with the latest web development trends and technologies.Why Join EButler?- Remote work flexibility, allowing you to work from anywhere.- Mentorship and continuous learning opportunities.- Collaborative and inclusive company culture.- Opportunity to make a real impact in a growing company.If you're a recent graduate with a passion for Python and web development, and you also have recommended data analytics skills, we'd love to hear from you! Join us in shaping the digital future at EButler. Apply now to kickstart your career as a Python Web Developer."
16,Software Engineer,MICA -,"Haram, Giza, Egypt ","Bachelor’s degree in computer engineering, information technology, computer science, or any related discipline or equivalent work experience.Java SEOracle SQL - PLSQLAt least one desktop ApplicationProblem SolvingWeb Development knowledge is preferred","MICA Academy is offering a suite of programs for students ages 15 to 18 introducing them to programming using java, Oracle Database SQL and pl-SQL, Android, Web Design, Web Development, Networking, Operating Systems, Server Administrations, It Infrastructure, Embedded Systems, Electronic Fundamentals, virtualization and Clouding Technology."
17,Software Engineer, Roaya -,"Maadi, Cairo, Egypt ","IT Background is a mustProven work experience as a Technical Projects Coordinator Excellent knowledge of MS OfficeFamiliarity with CRM practices along with ability to build productive business professional relationshipsExcellent verbal and written communication skillsPrioritizing, time management and organizational skillsAbility to create and deliver presentations tailored to the audience needsRelationship management skills and openness to feedbackStrong interpersonal, supervisory and customer service skills required.Ability to multi-task, work under pressure and meet deadlines required.Attention to Details.","A Technical Projects Coordinator for multiple projects.Leads planning and execution of client-facing cloud-based projects Gathers and develops requirements to create and maintain a detailed project schedule and/or integrated plan. Effectively manages project contract, payments and renewals. Provides project reporting to multi-stakeholders & senior management.Uses appropriate strategies and actions to overcome resistance to change and capitalize on forces in support of change during all stages of projects - concept, definition, planning, implementation, and close-out. Promotes IT standards and best practices for project management to facilitate control of system quality, adherence to standard methodology and the control of the use of IT resourcesPresent, promote and sell products/services using solid arguments to existing and prospective customersPerform cost-benefit and needs analysis of existing/potential customers to meet their needsEstablish, develop and maintain positive business and customer relationshipsExpedite the resolution of customer problems and complaints to maximize satisfactionSupply management with reports on customer needs, problems, interests, competitive activities, and potential for new products and services.Continuously improve through feedback Handle online chats Create Invoices assessing with the Accounting department Follow with the technical Support team"
18,Software Engineer,hyperone -,"10th of Ramadan City, Sharqia, Egypt ","Proven work experience as a Technical Support Engineer, Desktop Support Engineer, IT Help Desk Technician or similar roleGood understanding of computer systems, mobile devices and other tech productsAbility to diagnose and troubleshoot basic technical issuesFamiliarity with remote desktop applications and help desk software.Excellent problem-solving and communication skillsAbility to provide step-by-step technical help, both written and verbalBS degree in Information Technology, Computer Science or relevant field","Research and identify solutions to software and hardware issuesDiagnose and troubleshoot technical issues, including account setup and network configurationAsk customers targeted questions to quickly understand the root of the problemTrack computer system issues through to resolution, within agreed time limitsTalk clients through a series of actions, either via phone, email or chat, until they’ve solved a technical issueProperly escalate unresolved issues to appropriate internal teams (e.g. software developers)Provide prompt and accurate feedback to customersRefer to internal database or external resources to provide accurate tech solutionsEnsure all issues are properly loggedPrioritize and manage several open issues at one timeFollow up with clients to ensure their IT systems are fully functional after troubleshootingPrepare accurate and timely reportsDocument technical knowledge in the form of notes and manualsMaintain jovial relationships with clients"
19,Software Engineer,Estafsar -,"Downtown, Cairo, Egypt ",Proficiency in UX design tools (preferably Figma)Portfolio of previous design projectsClear understanding of modern design systems (preferably Material design)Excellent English communication skills (verbal & written)Previous experience working with a software product team is a plus,"Estafsar is an InsurTech ecosystem. Our platform is large one that keeps growing everyday with new features. Our UX engineer will work closely with the engineering team and the product team to design new features and evaluate already implemented functionalities in the platform to assess the need for improvements to enhance our users experience.The responsibilities will include but not limited to:Analyze and evaluate user experience in collaboration with stakeholders (engineering head, business team, etc…).Design features UI and user flows.Design user interface elements.Design page navigation flows.Develop UI mock-ups and prototypes to illustrate how new features should look like and function.Analyze & identify UX problems in the running system.Perks:Flexible hours, we're goal oriented and we try our best to maintain a work-life balanceFlexible work from home policyHealth insuranceA big part of your time will be dedicated to R&D"
20,Software Engineer,Petrological Integrated Solutions -,"Attarin, Alexandria, Egypt ","•Bachelor’s degree in Geography, Survey … or relatives' field.•Proven work experience as a GIS technician.•Understanding of Integrated AUTOCADMAP 3D, QGIS, GLOBAL MAPPER principals.•Advanced computer and data analysis skills.•Knowledge of modern cartographic standards and principles.•Advanced statistical, mathematical, and methodology skills.•Ability to work as part of a team.•Ability to travel when required.•Proficiency in design software including AutoCAD, Excel, PowerPoint software","•Compiling geographic information in the form of TIFF images, Shp , DWG .•Researching and verifying geographic data.•Entering new data into the QGIS database.•Ensuring maps are annotated and compiled with the correct information.•Compiling reports using all available GIS, TIFF, Statistics data sources.•Maintaining the GIS database and troubleshooting data issues."
21,Software Engineer,Qsource -,"Alexandria, Egypt ","Job Requirements:• BSc/BA in IT, Computer Science, or a related field• Have 1- 2 years of experience in a similar position.• Proven experience as a Help Desk Technician or other customer support role• Good understanding of computer systems, mobile devices, and other tech products• Have experience in Microsoft Windows OS & Office 365 suite.• End user computing hardware troubleshooting (laptops, printers, mobile phones)• Basic networking knowledge• Ability to diagnose and resolve fundamental computer/technical issues.• Excellent communication skills• Keen attention to detail, memory of patterns, and interest in problem-solving  ","Q-source is looking to hire “Help Desk Engineer” for well-known company working in food manufacturing in Alexandria.Location: AlexandriaDays off : Friday-SaturdayEnglish Level: GoodTransportation provided.Years of experience: 1 year Job Description:• Serve as the first point of contact for customers seeking technical assistance over the phone or email and ticketing system.• Provide technical assistance and support for incoming concerns and issues related to systems, software, and hardware.• Install all PC, printers, scanners, IP phones, SW and HW, and applications. • Backup system and antivirus and related applications.• Perform remote troubleshooting through diagnostic techniques and pertinent questions. • Work through the problem-solving process with customers, empowering them to do the same in the future.• Report significant and recurring issues to the tier-2 support team.• Collect feedback to determine patterns and issues such that they can be resolved, or FAQs can be provided to customers to ease troubleshooting.• Create and monitor (Follow up and engage) tickets on service desk portal. "
22,Software Engineer,Egyptian National Co.For Hydraulic -,"Cairo, Egypt ",Proven experience as a Sales Executive or relevant roleProficiency in EnglishExcellent knowledge of MS OfficeHands-on experience with CRM software is a plusThorough understanding of marketing and negotiating techniquesFast learner and passion for salesSelf-motivated with a results-driven approachAptitude in delivering attractive presentationsHigh school degree,"Conduct market research to identify selling possibilities and evaluate customer needsActively seek out new sales opportunities through cold calling, networking and social mediaSet up meetings with potential clients and listen to their wishes and concernsPrepare and deliver appropriate presentations on products and servicesCreate frequent reviews and reports with sales and financial dataEnsure the availability of stock for sales and demonstrationsParticipate on behalf of the company in exhibitions or conferencesNegotiate/close deals and handle complaints or objectionsCollaborate with team members to achieve better resultsGather feedback from customers or prospects and share with internal teams"
23,Software Engineer,Telegeeks LLC -,"Downtown, Cairo, Egypt ","Proven working experience as a business development manager, sales executive or a relevant roleProven sales track recordExperience in customer support is a plusProficiency in MS Office and CRM software (e.g. Salesforce)Proficiency in EnglishMarket knowledgeCommunication and negotiation skillsAbility to build rapportTime management and planning skillsBSc/BA in business administration, sales or relevant field","Telegeeks LLC Looking for Business Development Manager.The ideal candidate will lead initiatives to generate and engage with business partners to build new business for the company. This candidate will be focused and have strong communication skills. They should be able to think critically when making plans and have a demonstrated ability to execute a particular strategy.  Responsibilities..- Identify partnership opportunities- Develop new relationships in an effort to grow business and help company expand- Maintain existing business ane enhance it- Think critically when planning to assure project successQualifications..Bachelor's degree or equivalent experience.0 - 3 years' Telecommunications industry related business development experienceStrong communication and interpersonal skills.Proven knowledge and execution of successful development strategies.Focused and goal-orientedEnglish: fluent is mustLocation: Egypt, Cairo.Job: Full TimeE-mail: recruitment at tele-geeks.net www.tele-geeks.nethttps://www.linkedin.com/company/tele-geeks/"
24,Software Engineer,Link Datacenter -,"Giza, Egypt ","Bachelor’s degree in IT, or related field of study preferred; MS degree is a plus.At least 2 years of experience within a Security Operations Environment or 2+ years of experience in Network Operations Center.Good knowledge of Various Security TechnologiesExperience with Security Information and Event Management (SIEM) toolsExperience in event monitoring, correlation, event analysis, investigation and remediation of security events.Proven Knowledge and expertise in SIEM administration tasks including troubleshooting of various SIEM componentsExperience in managing multiple SOC customers.Information security certifications, Professional Security certification is a plus (SSCP, GSEC, CIHE, GCIH, CEH, or equivalent)","Detect, fingerprint, and mitigate cyber threats on a per-event basisParticipate in projects specific to Security Operations Center roadmapPerform security incident analysis and recommend remediation stepsWork escalations from SOC analysts to completion in ticket tracking systemCreate rules, filters, active channels, queries, trends and all other informational content based on use casesCommunicate and collaborate with security operations center analysts to optimize SIEM solution performance to better meet the needs of operationsTune correlation rules and event data quality to maximize SIEM system efficiencyProvide support, recommendations and optimization for the SIEM platformInterface with onsite clients to understand the quality aspects and expectations, as needed"
25,Web Developer,Holix -,"Cairo, Egypt ","Qualifications:- Bachelor's degree in Computer Science, Software Engineering, or related field.- Strong understanding of Python and web development fundamentals.- Familiarity with front-end technologies such as HTML, CSS, and JavaScript.- Knowledge of web frameworks (e.g., Django, Flask) is a plus.- Excellent problem-solving and communication skills.- Self-motivated with a strong desire to learn and grow. ","About Us:At EButler, we're on a mission to revolutionize the digital landscape with innovative web solutions. We take pride in our commitment to excellence, creativity, and teamwork, and we're looking for a talented Python Web Developer to join our dynamic and remote-friendly team.Position Overview:As a Python Web Developer at EButler, you will play a crucial role in designing, developing, and maintaining web applications that make a real impact. You'll work with a team of experienced professionals who are eager to mentor and guide you as you embark on your career in web development.Key Responsibilities:- Collaborate with cross-functional teams to design and develop web applications.- Write clean, efficient, and maintainable code using Python.- Troubleshoot and debug web application issues.- Optimize web applications for maximum speed and scalability.- Utilize data analytics skills to gain insights and enhance web application functionality (recommended).- Stay up-to-date with the latest web development trends and technologies.Why Join EButler?- Remote work flexibility, allowing you to work from anywhere.- Mentorship and continuous learning opportunities.- Collaborative and inclusive company culture.- Opportunity to make a real impact in a growing company.If you're a recent graduate with a passion for Python and web development, and you also have recommended data analytics skills, we'd love to hear from you! Join us in shaping the digital future at EButler. Apply now to kickstart your career as a Python Web Developer."
26,Web Developer,Target Recruitment  & HR Solutions  -,"Cairo, Egypt ",Bachelor’s Degree in any relevant field.1-2 Years of Experience.Very Good in English.Interested to work from home.Problem Solving and time management.Previous experience in web developing is a must.,"For a well known company based in UAE, a web developer is urgently needed.Job Description:Website and software application designing, building, or maintaining.Using scripting or authoring languages, management tools, content creation tools, applications, and digital media.Directing or performing Website updates.Developing or validating test routines and schedules to ensure that test cases mimic external interfaces and address all browser and device types.Editing, writing, or designing Website content, and directing team members who produce content.Maintaining an understanding of the latest Web applications and programming practices through education, study, and participation in conferences, workshops, and groups.Back up files from Web sites to local directories for recovery.Identifying problems uncovered by customer feedback and testing, and correcting or referring problems to appropriate personnel for correction.Evaluating code to ensure it meets industry standards, is valid, is properly structured, and is compatible with browsers, devices, or operating systems.Determining user needs by analyzing technical requirements."
